                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.62358,                0.36708,                 1.1904,                0.96258,                0.98484,                0.96953,                0.84983,                0.53647,                0.32746,                0.98958,               0.000515,               0.000515,               0.000515
                     77,                 0.6204,                 0.3557,                 1.1802,                0.96091,                0.98649,                0.96949,                0.85413,                0.53015,                0.32973,                0.97601,              0.0004952,              0.0004952,              0.0004952
                     78,                0.61661,                0.36649,                 1.1858,                 0.9617,                 0.9845,                0.96976,                0.85417,                0.52928,                 0.3267,                0.97846,              0.0004754,              0.0004754,              0.0004754
                     79,                0.62078,                0.35398,                 1.1854,                0.95904,                0.98616,                0.96883,                0.85925,                0.51752,                0.32236,                0.97466,              0.0004556,              0.0004556,              0.0004556
                     80,                0.61565,                0.35715,                  1.184,                0.96198,                 0.9857,                 0.9688,                0.85591,                0.52095,                0.33162,                0.97498,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60468,                0.35929,                 1.1845,                0.96172,                0.98616,                0.96754,                0.85685,                0.52816,                0.32218,                0.98835,               0.000416,               0.000416,               0.000416
                     82,                0.61363,                 0.3544,                 1.1793,                0.95996,                0.98985,                0.97039,                0.86236,                0.51789,                0.32649,                0.97156,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60712,                0.35913,                 1.1808,                0.96069,                0.98801,                 0.9682,                0.86198,                0.50711,                0.32997,                0.96712,              0.0003764,              0.0003764,              0.0003764
                     84,                0.60931,                0.35186,                 1.1806,                0.96038,                0.98893,                0.97171,                0.86331,                 0.5092,                0.32286,                0.96761,              0.0003566,              0.0003566,              0.0003566
                     85,                0.60383,                0.35813,                 1.1738,                0.96311,                0.98758,                0.96985,                0.85869,                  0.524,                 0.3221,                0.96982,              0.0003368,              0.0003368,              0.0003368
                     86,                0.60027,                0.34913,                 1.1765,                0.96081,                0.98893,                0.97109,                0.86262,                0.51258,                0.32908,                0.96189,               0.000317,               0.000317,               0.000317
                     87,                0.59386,                0.35242,                 1.1711,                 0.9616,                0.98755,                0.97112,                0.86859,                0.49684,                 0.3163,                0.95933,              0.0002972,              0.0002972,              0.0002972
                     88,                0.59537,                0.34955,                 1.1676,                0.96151,                0.98801,                0.96975,                0.86701,                0.50441,                0.31944,                0.97494,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.5894,                 0.3456,                  1.164,                0.96347,                0.98939,                0.97132,                0.86771,                  0.501,                0.31729,                0.96731,              0.0002576,              0.0002576,              0.0002576
